TipLabel,max_distance,max_brightness,median_total_distance_from_brown,median_total_brightness,combined_color
Acrocephalus_paludicola,6607.641026361668,253.670813,28741.286995495735,977.9062572999999,0.8579850468136697
Acrocephalus_palustris,6527.373987072613,252.0185634,26272.38113619363,1063.5534392999998,0.8444409671135213
Acrocephalus_rehsei,5540.127205927953,233.4236076,20232.56218678168,964.9318094,0.678140687464312
Acrocephalus_rimatarae,6439.2691978570865,250.6684672,22213.886323237006,930.7392190999999,0.8296509937865262
Acrocephalus_rodericanus,6079.643533720285,246.59961619999999,26791.283759830025,1139.2084489,0.7695197650329302
Acrocephalus_rufescens,6139.636797522055,234.790093,23680.41614326281,910.2686927,0.7774861967709483
Acrocephalus_schoenobaenus,6607.533057184154,254.01639160000002,28727.395973465977,1092.2211125,0.85802433183432
Acrocephalus_scirpaceus,6629.249076673821,254.32639,26733.150239460123,1091.2429840999998,0.8616659911531475
Acrocephalus_sechellensis,6426.500540748052,249.8313346,25412.876610605043,1074.9976031,0.8274014881731145
Acrocephalus_sorghophilus,6016.423355962686,244.4401818,24795.59654192452,1069.1584090000001,0.758710263512152
Acrocephalus_stentoreus,6323.658963156056,244.9672944,18679.50224314393,935.7122402,0.80959404024099
Acrocephalus_syrinx,6383.552114500795,247.39140899999998,21928.21184119043,960.6408121,0.8198972304675796
Acrocephalus_taiti,6413.933163896746,248.05865859999997,36794.66160340076,1430.27354,0.8250305835747425
Acrocephalus_tangorum,6329.501051312295,245.95858619999998,25957.741309727862,1059.7676889,0.8107238332848974
Acrocephalus_vaughani,5938.965111835758,236.6118728,22747.82865249271,937.9358619999999,0.7446094590671027
Acropternis_orthonyx,2918.6681109279234,98.847092,12312.102999277364,422.1104939,0.22247308496634505
Actinodura_egertoni,3243.213146302519,139.0808878,12616.489822438798,680.7059631999999,0.2827835885041243
Actinodura_morrisoniana,3905.9333623983784,140.7786336,15348.333164306834,601.7373051,0.3926347597260222
Actinodura_nipalensis,3635.5381405177723,157.6071594,17416.264941656686,670.8694836999999,0.35071145219255206
Actinodura_ramsayi,4010.7980931434427,189.6688366,19016.95357716214,878.7263370999999,0.4180557454935443
